"common_name","Type"
,"Omit"
"All Terrain Vehicle","Omit"
"Badger","Mammal"
"Beaver","Mammal"
"Bighorn sheep","Mammal"
"Bison","Mammal"
"Black Bear","Mammal"
"Canada Lynx","Mammal"
"Columbian Ground Squirrel","Mammal"
"Common raven","Bird"
"Cougar","Mammal"
"Coyote","Mammal"
"Cranes, Rails, Coots","Bird"
"Crow","Bird"
"Deer","Mammal"
"Domestic Cat (house Cat)","Domestic"
"Domestic Cow","Domestic"
"Domestic Dog","Domestic"
"Domestic goat","Domestic"
"Domestic Llama, Alpaca","Domestic"
"Domesticated Horse","Domestic"
"Ducks, Swans, Geese","Bird"
"Elk (wapiti)","Mammal"
"Falcons and allies","Bird"
"Fisher","Mammal"
"Golden-Mantled Ground Squirrel","Mammal"
"Gray Jay","Bird"
"Gray Wolf","Mammal"
"Grizzly bear","Mammal"
"Groundhog","Mammal"
"Grouse, Ptarmigan and allies","Bird"
"Gulls, Terns and allies","Bird"
"Heavy Equipment","Omit"
"Hoary Marmot","Mammal"
"Human","Omit"
"Least Chipmunk","Mammal"
"Magpie","Bird"
"Marten","Mammal"
"Mink","Mammal"
"Moose","Mammal"
"Mountain goat","Mammal"
"Mule deer","Mammal"
"Muskrat","Mammal"
"NONE","Omit"
"Northern Flying Squirrel","Mammal"
"Owls","Bird"
"Pelicans, Herons, Egrets","Bird"
"Porcupine","Mammal"
"Pronghorn","Mammal"
"Ptarmigans","Bird"
"Raccoon","Mammal"
"Red fox","Mammal"
"Red Squirrel","Mammal"
"Richardson's Ground Squirrel","Mammal"
"River Otter","Mammal"
"Sandpipers, Curlews, Snipe and Allies","Bird"
"Snowshoe Hare","Mammal"
"Songbird","Bird"
"Spruce Grouse","Bird"
"STAFF/SETUP","Omit"
"Striped Skunk","Mammal"
"UNKNOWN","Omit"
"Vehicle","Omit"
"Voles, Mice and Allies","Mammal"
"Weasels and Ermine","Mammal"
"White-tailed Deer","Mammal"
"White-tailed Jack Rabbit","Mammal"
"Wolverine","Mammal"
"Wolves, Coyotes and Allies","Mammal"
"Woodland Caribou","Mammal"
"Woodpeckers","Bird"
